"date" "music" "popul" "chord" "key" "artist"
"1" NA " sergio reis a bandeira do divino " NA "C" "C" "sergio reis"
"2" NA " sergio reis a bandeira do divino " NA "F" "C" "sergio reis"
"3" NA " sergio reis a bandeira do divino " NA "D7" "C" "sergio reis"
"4" NA " sergio reis a bandeira do divino " NA "G7" "C" "sergio reis"
"5" NA " sergio reis a bandeira do divino " NA "C" "C" "sergio reis"
"6" NA " sergio reis a bandeira do divino " NA "G" "C" "sergio reis"
"7" NA " sergio reis a bandeira do divino " NA "C" "C" "sergio reis"
"8" NA " sergio reis a bandeira do divino " NA "G" "C" "sergio reis"
"9" NA " sergio reis a bandeira do divino " NA "C" "C" "sergio reis"
"10" NA " sergio reis a bandeira do divino " NA "F" "C" "sergio reis"
"11" NA " sergio reis a bandeira do divino " NA "D7" "C" "sergio reis"
"12" NA " sergio reis a bandeira do divino " NA "G7" "C" "sergio reis"
"13" NA " sergio reis a bandeira do divino " NA "C" "C" "sergio reis"
"14" NA " sergio reis a bandeira do divino " NA "G" "C" "sergio reis"
"15" NA " sergio reis a bandeira do divino " NA "C" "C" "sergio reis"
"16" NA " sergio reis a bandeira do divino " NA "A7" "C" "sergio reis"
"17" NA " sergio reis a bandeira do divino " NA "Db" "C" "sergio reis"
"18" NA " sergio reis a bandeira do divino " NA "Gb" "C" "sergio reis"
"19" NA " sergio reis a bandeira do divino " NA "Eb7" "C" "sergio reis"
"20" NA " sergio reis a bandeira do divino " NA "Ab7" "C" "sergio reis"
"21" NA " sergio reis a bandeira do divino " NA "Db" "C" "sergio reis"
"22" NA " sergio reis a bandeira do divino " NA "Ab" "C" "sergio reis"
"23" NA " sergio reis a bandeira do divino " NA "Db" "C" "sergio reis"
"24" NA " sergio reis a bandeira do divino " NA "Ab" "C" "sergio reis"
"25" NA " sergio reis a bandeira do divino " NA "Db" "C" "sergio reis"
"26" NA " sergio reis a bandeira do divino " NA "Gb" "C" "sergio reis"
"27" NA " sergio reis a bandeira do divino " NA "Eb7" "C" "sergio reis"
"28" NA " sergio reis a bandeira do divino " NA "Ab7" "C" "sergio reis"
"29" NA " sergio reis a bandeira do divino " NA "Db" "C" "sergio reis"
"30" NA " sergio reis a bandeira do divino " NA "Ab" "C" "sergio reis"
"31" NA " sergio reis a bandeira do divino " NA "Db" "C" "sergio reis"
"32" NA " sergio reis a bandeira do divino " NA "Bb7" "C" "sergio reis"
"33" NA " sergio reis a bandeira do divino " NA "D" "C" "sergio reis"
"34" NA " sergio reis a bandeira do divino " NA "G" "C" "sergio reis"
"35" NA " sergio reis a bandeira do divino " NA "E7" "C" "sergio reis"
"36" NA " sergio reis a bandeira do divino " NA "A7" "C" "sergio reis"
"37" NA " sergio reis a bandeira do divino " NA "D" "C" "sergio reis"
"38" NA " sergio reis a bandeira do divino " NA "D" "C" "sergio reis"
"39" NA " sergio reis a bandeira do divino " NA "G" "C" "sergio reis"
"40" NA " sergio reis a bandeira do divino " NA "E7" "C" "sergio reis"
"41" NA " sergio reis a bandeira do divino " NA "A7" "C" "sergio reis"
"42" NA " sergio reis a bandeira do divino " NA "D" "C" "sergio reis"
"43" NA " sergio reis a bandeira do divino " NA "A" "C" "sergio reis"
"44" NA " sergio reis a bandeira do divino " NA "D" "C" "sergio reis"
"45" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"46" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"47" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"48" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"49" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"50" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"51" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"52" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"53" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"54" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"55" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"56" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"57" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"58" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"59" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"60" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"61" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"62" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"63" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"64" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"65" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"66" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"67" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"68" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"69" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"70" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"71" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"72" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"73" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"74" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"75" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"76" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"77" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"78" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"79" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"80" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"81" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"82" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"83" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"84" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"85" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"86" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"87" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"88" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"89" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"90" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"91" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"92" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"93" NA " sergio reis a boiada " NA "F" "C" "sergio reis"
"94" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"95" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"96" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"97" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"98" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"99" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"100" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"101" NA " sergio reis a boiada " NA "G" "C" "sergio reis"
"102" NA " sergio reis a boiada " NA "C" "C" "sergio reis"
"103" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"104" "1996-03-03" " sergio reis a volta da asa branca " 12 "F" "G" "sergio reis"
"105" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"106" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"107" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"108" "1996-03-03" " sergio reis a volta da asa branca " 12 "D" "G" "sergio reis"
"109" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"110" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"111" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"112" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"113" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"114" "1996-03-03" " sergio reis a volta da asa branca " 12 "G7" "G" "sergio reis"
"115" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"116" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"117" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"118" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"119" "1996-03-03" " sergio reis a volta da asa branca " 12 "D7" "G" "sergio reis"
"120" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"121" "1996-03-03" " sergio reis a volta da asa branca " 12 "F" "G" "sergio reis"
"122" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"123" "1996-03-03" " sergio reis a volta da asa branca " 12 "Em" "G" "sergio reis"
"124" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"125" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"126" "1996-03-03" " sergio reis a volta da asa branca " 12 "D" "G" "sergio reis"
"127" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"128" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"129" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"130" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"131" "1996-03-03" " sergio reis a volta da asa branca " 12 "G7" "G" "sergio reis"
"132" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"133" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"134" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"135" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"136" "1996-03-03" " sergio reis a volta da asa branca " 12 "D7" "G" "sergio reis"
"137" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"138" "1996-03-03" " sergio reis a volta da asa branca " 12 "F" "G" "sergio reis"
"139" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"140" "1996-03-03" " sergio reis a volta da asa branca " 12 "Em" "G" "sergio reis"
"141" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"142" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"143" "1996-03-03" " sergio reis a volta da asa branca " 12 "D" "G" "sergio reis"
"144" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"145" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"146" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"147" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"148" "1996-03-03" " sergio reis a volta da asa branca " 12 "G7" "G" "sergio reis"
"149" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"150" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"151" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"152" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"153" "1996-03-03" " sergio reis a volta da asa branca " 12 "D7" "G" "sergio reis"
"154" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"155" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"156" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"157" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"158" "1996-03-03" " sergio reis a volta da asa branca " 12 "G7" "G" "sergio reis"
"159" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"160" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"161" "1996-03-03" " sergio reis a volta da asa branca " 12 "C" "G" "sergio reis"
"162" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"163" "1996-03-03" " sergio reis a volta da asa branca " 12 "D7" "G" "sergio reis"
"164" "1996-03-03" " sergio reis a volta da asa branca " 12 "G" "G" "sergio reis"
"165" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"166" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"167" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"168" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"169" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"170" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"171" NA " sergio reis a volta ao boiadeiro " NA "C7" "C" "sergio reis"
"172" NA " sergio reis a volta ao boiadeiro " NA "F" "C" "sergio reis"
"173" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"174" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"175" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"176" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"177" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"178" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"179" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"180" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"181" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"182" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"183" NA " sergio reis a volta ao boiadeiro " NA "C7" "C" "sergio reis"
"184" NA " sergio reis a volta ao boiadeiro " NA "F" "C" "sergio reis"
"185" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"186" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"187" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"188" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"189" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"190" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"191" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"192" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"193" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"194" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"195" NA " sergio reis a volta ao boiadeiro " NA "C7" "C" "sergio reis"
"196" NA " sergio reis a volta ao boiadeiro " NA "F" "C" "sergio reis"
"197" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"198" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"199" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"200" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"201" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"202" NA " sergio reis a volta ao boiadeiro " NA "G7" "C" "sergio reis"
"203" NA " sergio reis a volta ao boiadeiro " NA "C" "C" "sergio reis"
"204" "1996-03-03" " sergio reis adeus mariana " 25 "C" "C" "sergio reis"
"205" "1996-03-03" " sergio reis adeus mariana " 25 "G7" "C" "sergio reis"
"206" "1996-03-03" " sergio reis adeus mariana " 25 "F" "C" "sergio reis"
"207" "1996-03-03" " sergio reis adeus mariana " 25 "G7" "C" "sergio reis"
"208" "1996-03-03" " sergio reis adeus mariana " 25 "F" "C" "sergio reis"
"209" "1996-03-03" " sergio reis adeus mariana " 25 "Em7" "C" "sergio reis"
"210" "1996-03-03" " sergio reis adeus mariana " 25 "Dm" "C" "sergio reis"
"211" "1996-03-03" " sergio reis adeus mariana " 25 "C" "C" "sergio reis"
"212" "1996-03-03" " sergio reis adeus mariana " 25 "C" "C" "sergio reis"
"213" "1996-03-03" " sergio reis adeus mariana " 25 "G7" "C" "sergio reis"
"214" "1996-03-03" " sergio reis adeus mariana " 25 "F" "C" "sergio reis"
"215" "1996-03-03" " sergio reis adeus mariana " 25 "G7" "C" "sergio reis"
"216" "1996-03-03" " sergio reis adeus mariana " 25 "F" "C" "sergio reis"
"217" "1996-03-03" " sergio reis adeus mariana " 25 "Em7" "C" "sergio reis"
"218" "1996-03-03" " sergio reis adeus mariana " 25 "Dm" "C" "sergio reis"
"219" "1996-03-03" " sergio reis adeus mariana " 25 "C" "C" "sergio reis"
"220" "1996-03-03" " sergio reis adeus mariana " 25 "C" "C" "sergio reis"
